rna-NM_001180043.1	YAL068C
rna-NM_001184582.1	YAL067W-A
rna-NM_001178208.1	YAL067C
rna-NM_001179897.1	YAL065C
rna-NM_001180042.1	YAL064W-B
rna-NM_001180041.1	YAL064C-A
rna-NM_001178206.2	YAL064W
rna-NM_001184642.1	YAL063C-A
rna-NM_001178205.1	YAL063C
rna-NM_001178204.1	YAL062W
rna-NM_001178203.1	YAL061W
rna-NM_001178202.2	YAL060W
rna-NM_001178201.2	YAL059W
rna-NM_001178200.1	YAL058W
rna-NM_001178199.2	YAL056W
rna-NM_001178198.1	YAL055W
rna-NM_001178197.1	YAL054C
rna-NM_001178196.2	YAL053W
rna-NM_001178195.2	YAL051W
rna-NM_001178194.1	YAL049C
rna-NM_001178193.1	YAL048C
rna-NM_001178192.2	YAL047C
rna-NM_001178191.1	YAL046C
rna-NM_001184453.1	YAL044W-A
rna-NM_001178189.1	YAL044C
rna-NM_001178188.1	YAL043C
rna-NM_001178187.1	YAL042W
rna-NM_001178186.1	YAL041W
rna-NM_001178185.1	YAL040C
rna-NM_001178184.1	YAL039C
rna-NM_001178183.1	YAL038W
rna-NM_001184629.1	YAL037C-A
rna-NM_001178182.1	YAL037W
rna-NM_001178181.1	YAL036C
rna-NM_001178180.1	YAL035W
rna-NM_001178179.1	YAL034W-A
rna-NM_001180035.1	YAL034C
rna-NM_001178178.1	YAL033W
rna-NM_001178177.1	YAL032C
rna-NM_001178176.1	YAL031C
rna-NM_001178175.1	YAL030W
rna-NM_001178175.1	YAL030W
rna-NM_001178174.1	YAL029C
rna-NM_001178173.1	YAL028W
rna-NM_001178172.1	YAL027W
rna-NM_001178171.2	YAL026C
rna-NM_001178170.2	YAL025C
rna-NM_001178169.1	YAL024C
rna-NM_001178168.1	YAL023C
rna-NM_001178167.1	YAL022C
rna-NM_001178166.1	YAL021C
rna-NM_001178165.2	YAL020C
rna-NM_001178164.1	YAL019W
rna-NM_001178163.1	YAL018C
rna-NM_001178162.2	YAL017W
rna-NM_001178161.1	YAL016W
rna-NM_001178160.1	YAL015C
rna-NM_001178159.1	YAL014C
rna-NM_001178158.2	YAL013W
rna-NM_001178157.1	YAL012W
rna-NM_001178156.1	YAL011W
rna-NM_001178155.2	YAL010C
rna-NM_001178154.1	YAL009W
rna-NM_001178153.1	YAL008W
rna-NM_001178152.1	YAL007C
rna-NM_001178151.1	YAL005C
rna-NM_001178150.1	YAL003W
rna-NM_001178150.1	YAL003W
rna-NM_001178149.1	YAL002W
rna-NM_001178148.1	YAL001C
rna-NM_001178148.1	YAL001C
rna-NM_001178209.1	YAR002W
rna-NM_001180033.1	YAR002C-A
rna-NM_001178210.1	YAR003W
rna-NM_001178211.1	YAR007C
rna-NM_001178212.1	YAR008W
rna-NM_001178213.1	YAR009C
rna-NM_001178214.1	YAR010C
rna-NM_001178215.2	YAR014C
rna-NM_001178216.1	YAR015W
rna-NM_001178217.1	YAR018C
rna-NM_001178218.2	YAR019C
rna-NM_001178219.1	YAR020C
rna-NM_001178220.2	YAR023C
rna-NM_001178221.1	YAR027W
rna-NM_001178222.1	YAR028W
rna-NM_001178223.1	YAR029W
rna-NM_001178224.1	YAR031W
rna-NM_001178225.1	YAR033W
rna-NM_001178226.1	YAR035W
rna-NM_001184583.1	YAR035C-A
rna-NM_001178227.1	YAR042W
rna-NM_001178230.1	YAR050W
rna-NM_001178235.1	YAR064W
rna-NM_001180045.1	YAR066W
rna-NM_001178236.1	YAR068W
rna-NM_001178239.1	YAR071W
rna-NM_001180054.1	YBL113C
rna-NM_001180053.1	YBL112C
rna-NM_001180052.1	YBL111C
rna-NM_001180052.1	YBL111C
rna-NM_001184458.1	YBL108C-A
rna-NM_001178347.1	YBL107C
rna-NM_001178346.2	YBL106C
rna-NM_001178345.2	YBL105C
rna-NM_001178344.1	YBL104C
rna-NM_001178343.1	YBL103C
rna-NM_001178342.1	YBL102W
rna-NM_001178341.1	YBL101C
rna-NM_001184585.1	YBL100W-C
rna-NM_001180050.2	YBL100W-B
rna-NM_001180050.2	YBL100W-B
rna-NM_001180049.1	YBL100W-A
rna-NM_001178339.2	YBL099W
rna-NM_001178338.1	YBL098W
rna-NM_001178337.2	YBL097W
rna-NM_001178335.1	YBL095W
rna-NM_001178333.1	YBL093C
rna-NM_001178332.1	YBL092W
rna-NM_001184321.1	YBL091C-A
rna-NM_001184321.1	YBL091C-A
rna-NM_001178331.2	YBL091C
rna-NM_001178330.1	YBL090W
rna-NM_001178329.1	YBL089W
rna-NM_001178328.2	YBL088C
rna-NM_001178327.1	YBL087C
rna-NM_001178327.1	YBL087C
rna-NM_001178326.1	YBL086C
rna-NM_001178325.1	YBL085W
rna-NM_001178324.2	YBL084C
rna-NM_001178322.1	YBL082C
rna-NM_001178321.1	YBL081W
rna-NM_001178320.2	YBL080C
rna-NM_001178319.1	YBL079W
rna-NM_001178318.1	YBL078C
rna-NM_001178316.1	YBL076C
rna-NM_001178315.1	YBL075C
rna-NM_001178314.1	YBL074C
rna-NM_001178312.1	YBL072C
rna-NM_001184584.1	YBL071C-B
rna-NM_001184454.1	YBL071W-A
rna-NM_001346794.1	YBL071C
rna-NM_001178309.1	YBL069W
rna-NM_001178308.2	YBL068W
rna-NM_001178307.2	YBL067C
rna-NM_001178306.1	YBL066C
rna-NM_001178304.1	YBL064C
rna-NM_001178303.1	YBL063W
rna-NM_001178301.1	YBL061C
rna-NM_001178300.1	YBL060W
rna-NM_001184440.1	YBL059C-A
rna-NM_001184440.1	YBL059C-A
rna-NM_001178299.1	YBL059W
rna-NM_001178299.1	YBL059W
rna-NM_001178298.1	YBL058W
rna-NM_001178297.2	YBL057C
rna-NM_001178296.2	YBL056W
rna-NM_001178295.1	YBL055C
rna-NM_001178294.1	YBL054W
rna-NM_001178292.1	YBL052C
rna-NM_001178291.1	YBL051C
rna-NM_001178290.1	YBL050W
rna-NM_001178290.1	YBL050W
rna-NM_001178289.1	YBL049W
rna-NM_001348869.1	YBL048W
rna-NM_001178287.1	YBL047C
rna-NM_001178286.1	YBL046W
rna-NM_001178285.1	YBL045C
rna-NM_001178284.1	YBL044W
rna-NM_001178283.1	YBL043W
rna-NM_001178282.1	YBL042C
rna-NM_001178281.1	YBL041W
rna-NM_001178280.1	YBL040C
rna-NM_001178280.1	YBL040C
rna-NM_001184527.1	YBL039W-B
rna-NM_001178279.1	YBL039C
rna-NM_001178278.1	YBL038W
rna-NM_001178277.1	YBL037W
rna-NM_001178276.1	YBL036C
rna-NM_001178275.1	YBL035C
rna-NM_001178274.1	YBL034C
rna-NM_001178273.1	YBL033C
rna-NM_001178272.1	YBL032W
rna-NM_001178271.1	YBL031W
rna-NM_001178270.1	YBL030C
rna-NM_001184457.1	YBL029C-A
rna-NM_001178269.1	YBL029W
rna-NM_001178268.1	YBL028C
rna-NM_001178267.1	YBL027W
rna-NM_001178267.1	YBL027W
rna-NM_001178266.1	YBL026W
rna-NM_001178266.1	YBL026W
rna-NM_001178265.1	YBL025W
rna-NM_001178264.1	YBL024W
rna-NM_001178263.1	YBL023C
rna-NM_001178262.1	YBL022C
rna-NM_001178261.1	YBL021C
rna-NM_001178260.1	YBL020W
rna-NM_001178259.1	YBL019W
rna-NM_001178258.1	YBL018C
rna-NM_001178258.1	YBL018C
rna-NM_001178257.1	YBL017C
rna-NM_001178256.1	YBL016W
rna-NM_001178255.1	YBL015W
